RegistrationNumber,binomial,Percent_overlap,binomial_overlap,Year,Continent,Country,Certainty,redlist,ecology,duplicates,duplicates_year,Decade,Extent_km
NHMUK_49.77,Manis crassicaudata,13.0605038945362,1,1948,Asia,Sri Lanka,25,EN,Terrestrial,0,0,1940,3.98
NHMUK_50.29,Manis crassicaudata,25.6067834625776,1,1936,Asia,Sri Lanka,25,EN,Terrestrial,0,0,1930,2.66
NHMUK_57.487,Manis crassicaudata,0,0,NA,Asia,Sri Lanka,100,EN,Terrestrial,0,0,NA,256.56
NHMUK_57.488,Manis crassicaudata,0,0,NA,Asia,Sri Lanka,100,EN,Terrestrial,1,1,NA,256.56
NHMUK_76.138,Manis crassicaudata,25.6067834625776,1,1935,Asia,Sri Lanka,25,EN,Terrestrial,1,0,1930,2.66
NHMUK_76.138,Manis crassicaudata,25.6067834625776,1,1935,Asia,Sri Lanka,25,EN,Terrestrial,1,1,1930,2.66
NHMUK_76.141,Manis crassicaudata,0,0,NA,Asia,Sri Lanka,100,EN,Terrestrial,1,1,NA,256.56
NHMUK_34.3.4.1,Manis crassicaudata,0,0,1933,Asia,Burma,75,EN,Terrestrial,0,0,1930,0.05
NHMUK_77.3.14.8,Manis crassicaudata,15.6313378170982,1,NA,Asia,Sri Lanka,50,EN,Terrestrial,0,0,NA,5.63
NHMUK_91.1.31.1,Manis crassicaudata,18.950989081969,1,NA,Asia,India,50,EN,Terrestrial,0,0,NA,16.7
OMNH_659,Manis crassicaudata,15.0553798918531,1,1965,Asia,Pakistan,75,EN,Terrestrial,0,0,1960,3.036
FMNH_92879,Manis crassicaudata,17.9336661336307,1,1959,Asia,Sri Lanka,75,EN,Terrestrial,0,0,1950,3.51
FMNH_82823,Manis crassicaudata,80.9865724996178,1,1922,Asia,India,75,EN,Terrestrial,0,0,1920,3.69
KU_26648,Manis crassicaudata,21.9007072685464,1,1944,Asia,Sri Lanka,75,EN,Terrestrial,0,0,1940,4.64
FMNH_98264,Manis crassicaudata,11.2695605313584,1,1963,Asia,Sri Lanka,75,EN,Terrestrial,0,0,1960,13.8
MCZ_BOM-5305,Manis crassicaudata,0,0,1810,Asia,India,75,EN,Terrestrial,0,0,1810,60.957
MHNG_MHNG-MAM-1496.018,Manis crassicaudata,0,0,1977,Asia,Pakistan,75,EN,Terrestrial,0,0,1970,88.35
AMNH_M-34255,Manis crassicaudata,15.2811510418287,1,1910,Asia,Sri Lanka,50,EN,Terrestrial,0,0,1910,4.65
MCZ_BOM-1066,Manis crassicaudata,2.69777127036086,1,1700,Asia,India,75,EN,Terrestrial,0,0,1700,49.91
MCZ_BOM-1065,Manis crassicaudata,2.69777127036086,1,1700,Asia,India,75,EN,Terrestrial,1,1,1700,49.91
MCZ_32522,Manis crassicaudata,0,0,1934,Asia,Sri Lanka,100,EN,Terrestrial,0,0,1930,58
RBINS_301B,Manis crassicaudata,0,0,1932,Asia,Sri Lanka,75,EN,Terrestrial,0,0,1930,274.14
ROM_2603230109,Manis crassicaudata,95.1735480347077,1,NA,Asia,India,50,EN,Terrestrial,0,0,NA,1.09962
FMNH_62918,Manis culionensis,24.3714364885312,1,1947,Asia,Philippines,75,CR,Arboreal,0,0,1940,0.5
AMNH_M-242095,Manis culionensis,24.3714364885312,1,NA,Asia,Philippines,75,CR,Arboreal,1,0,NA,0.5
FMNH_62919,Manis culionensis,14.9791515905081,1,1947,Asia,Philippines,75,CR,Arboreal,0,0,1940,0.9
FMNH_62917,Manis culionensis,14.5908269571248,1,1947,Asia,Philippines,75,CR,Arboreal,0,0,1940,0.9
FMNH_62920,Manis culionensis,14.9791515905081,1,1947,Asia,Philippines,75,CR,Arboreal,1,1,1940,0.9
